code,path,label,lastUpdate,lastModified,dataStart,dataEnd,count
tran_sf_aviavi,Transport > Database by themes,"Air accidents victims by type of aircraft operation, country of occurrence and country of registration of aircraft",2025-10-15,2025-11-28,2014,2024,891432
tran_sf_marv,Transport > Database by themes,Maritime accident victims by sea basin of occurrence and country of registration of vessels,2025-11-06,2025-11-06,2011,2024,670
tran_sf_marvper,Transport > Database by themes,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and category of victims",2025-11-06,2025-11-06,2011,2024,2668
tran_sf_marves,Transport > Database by themes,"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",2025-11-06,2025-11-06,2011,2024,3734
tran_hv_ms_frmod6,Transport > Database by themes,"Modal split of air, sea, inland and oil pipeline freight transport",2025-09-10,2025-09-10,2008,2023,2312
tran_hv_ms_frmod,Transport > Database by themes,"Modal split of air, sea and inland freight transport",2025-04-15,2026-03-17,2008,2023,2040
tran_hv_ms_psmod,Transport > Database by themes,"Modal split of air, sea and inland passenger transport",2025-06-05,2026-03-17,2008,2023,2272
tran_hv_frmod,Transport > Database by themes,Modal split of inland freight transport,2026-03-04,2026-03-17,2005,2024,2149
tran_hv_psmod,Transport > Database by themes,Modal split of inland passenger transport,2025-06-05,2026-03-17,1990,2023,4397
tran_im_umod,Transport > Database by themes,Unitisation in the different modes of transport - tonne-kilometre for gross weight of goods,2026-03-09,2026-03-09,2007,2024,124
tran_im_uroad,Transport > Database by themes,Unitisation in road freight transport - tonne-kilometre for gross weight of goods,2026-03-10,2026-03-09,2007,2024,1930
tran_im_urail,Transport > Database by themes,Unitisation in rail freight transport- tonne-kilometre for gross-gross weight of goods,2026-03-09,2026-03-09,2007,2024,1890
tran_im_uiww,Transport > Database by themes,Unitisation in inland waterways freight transport - tonne-kilometre for gross-gross weight of goods,2026-03-09,2026-03-09,2007,2024,283
tran_im_umar,Transport > Database by themes,Unitisation in maritime freight transport - tonnes for gross weight of goods,2026-03-09,2026-03-09,2007,2024,964
tran_im_mosp,Transport > Database by themes,Modal shift potential of long-distance road freight in containers - tonne-kilometre,2026-03-09,2026-03-09,2007,2024,663
tran_im_mospt,Transport > Database by themes,Modal shift potential of long-distance road freight in containers - tonne,2026-03-09,2026-03-09,2007,2024,657
tran_hv_frtra,Transport > Database by themes,Volume of freight transport relative to GDP,2026-03-05,2026-03-05,2005,2024,595
tran_hv_pstra,Transport > Database by themes,Volume of passenger transport relative to GDP,2025-06-05,2025-06-05,1990,2023,1014
