strike,forward,maturity,moneyness,moneyness_ttm,ttm,implied_vol,price,price_bp,forward_price,type,side,open_interest,volume
76000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.07616727730264142,0.25178255421544277,0.09151359007091742,0.4875961498636602,0.0295,295.0,2077.574375,call,bid,2038.2,14910.51
76000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.07616727730264142,0.25178255421544277,0.09151359007091742,0.4967130814870105,0.0305,305.0,2148.000625,call,ask,2038.2,14910.51
77000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.08923935886999423,0.2949943139434823,0.09151359007091742,0.48505048414304586,0.0255,255.0,1795.869375,call,bid,532.7,4214.25
77000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.08923935886999423,0.2949943139434823,0.09151359007091742,0.4945769128652997,0.0265,265.0,1866.295625,call,ask,532.7,4214.25
78000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.10214276370590197,0.33764848700459654,0.09151359007091742,0.483280821613936,0.022,220.0,1549.3775,call,bid,1626.6,143238.65
78000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.10214276370590197,0.33764848700459654,0.09151359007091742,0.4933082666032574,0.023,230.0,1619.80375,call,ask,1626.6,143238.65
79000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.11488178948333179,0.37975928001237563,0.09151359007091742,0.48270599849591267,0.019,190.0,1338.09875,call,bid,295.8,579.07
79000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.11488178948333179,0.37975928001237563,0.09151359007091742,0.49332515219209444,0.02,200.0,1408.525,call,ask,295.8,579.07
80000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.12746057169019195,0.42134036345295683,0.09151359007091742,0.4838870925885249,0.0165,165.0,1162.033125,call,bid,2307.0,14942.74
80000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.12746057169019195,0.42134036345295683,0.09151359007091742,0.4895566242311559,0.017,170.0,1197.24625,call,ask,2307.0,14942.74
81000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.13988309168874916,0.46240489832665754,0.09151359007091742,0.48144378168213836,0.014,140.0,985.9675,call,bid,530.7,435.3
81000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.13988309168874916,0.46240489832665754,0.09151359007091742,0.49359237541355916,0.015,150.0,1056.39375,call,ask,530.7,435.3
82000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.15215318428056335,0.5029655611550218,0.09151359007091742,0.481499861127192,0.012,120.0,845.115,call,bid,1323.2,1273.46
82000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.15215318428056335,0.5029655611550218,0.09151359007091742,0.48809433465137986,0.0125,125.0,880.328125,call,ask,1323.2,1273.46
83000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.1642745448129082,0.5430345674721769,0.09151359007091742,0.4778747147718377,0.01,100.0,704.2625,call,bid,268.9,1938.55
83000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.1642745448129082,0.5430345674721769,0.09151359007091742,0.49219862014538873,0.011,110.0,774.68875,call,ask,268.9,1938.55
84000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.17625073585962395,0.5826236939094118,0.09151359007091742,0.47788611028671446,0.0085,85.0,598.623125,call,bid,1542.2,1510.62
84000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.17625073585962395,0.5826236939094118,0.09151359007091742,0.49350868108590323,0.0095,95.0,669.049375,call,ask,1542.2,1510.62
85000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.18808519350662684,0.6217442989728875,0.09151359007091742,0.4830920548664848,0.0075,75.0,528.196875,call,bid,3253.8,5434.17
85000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.18808519350662684,0.6217442989728875,0.09151359007091742,0.4916246147257226,0.008,80.0,563.41,call,ask,3253.8,5434.17
86000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.19978123326981798,0.6604073426061869,0.09151359007091742,0.47624699836564255,0.006,60.0,422.5575,call,bid,2210.3,1234.0
86000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.19978123326981798,0.6604073426061869,0.09151359007091742,0.4951974466055177,0.007,70.0,492.98375,call,ask,2210.3,1234.0
88000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.2227707514945168,0.7364027020805424,0.09151359007091742,0.48500216408966024,0.0046,46.0,323.96075,call,bid,1091.8,4230.8
88000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.2227707514945168,0.7364027020805424,0.09151359007091742,0.49421653630364043,0.005,50.0,352.13125,call,ask,1091.8,4230.8
90000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.24524360734657533,0.8106901552668272,0.09151359007091742,0.4895881795719287,0.0034,34.0,239.44925,call,bid,1908.9,1151.58
90000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.24524360734657533,0.8106901552668272,0.09151359007091742,0.49528784703729295,0.0036,36.0,253.5345,call,ask,1908.9,1151.58
92000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.26722251406535064,0.8833447842425737,0.09151359007091742,0.49732064629337164,0.0026,26.0,183.10825,call,bid,369.8,381.5
92000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.26722251406535064,0.8833447842425737,0.09151359007091742,0.5075511374813055,0.0029,29.0,204.236125,call,ask,369.8,381.5
94000.0,70426.25,2026-04-24T08:00:00.000+00:00,0.28872871928631416,0.954436826308096,0.09151359007091742,0.500734234406368,0.0019,19.0,133.809875,call,bid,543.4,290.39
